ticker,weight,score,price,name,sector
EHLD,0.05555555555555555,1.5180578296790899,9.3,EUROHOLDINGS LTD,Industrials
ENLV,0.05555555555555555,1.1947606993985285,1.58,ENLIVEX LTD,Healthcare
DIT,0.05555555555555555,0.981183855395604,68.0,AMCON DISTRIBUTING CO,Consumer Defensive
APT,0.05555555555555555,0.6337971834545947,5.43,ALPHA PRO TECH LTD,Basic Materials
RIBB,0.05555555555555555,0.5257517143822787,10.82,RIBBON ACQUISITION CORP,Industrials
MNDO,0.05555555555555555,0.4797100054309803,1.02,MIND CTI LTD,Technology
IDN,0.05555555555555555,0.46283719220464303,2.805,INTELLICHECK INC,Technology
HOUR,0.05555555555555555,0.3323070921815556,1.944,HOUR LOOP INC,Consumer Cyclical
UG,0.05555555555555555,0.1866785597077713,7.15,UNITED GUARDIAN INC,Consumer Defensive
RAVE,0.05555555555555555,0.1768262800970492,3.04,RAVE RESTAURANT GROUP INC,Consumer Cyclical
MXC,0.05555555555555555,0.1321586123651987,9.31,MEXCO ENERGY CORP,Energy
CAPN,0.05555555555555555,0.08473434919816457,11.1,CAYSON ACQUISITION CORP,Industrials
BOSC,0.05555555555555555,0.05101940331637614,4.56,BOS BETTER ONLINE SOLUTIONS LTD,Technology
MARPS,0.05555555555555555,0.03809063392405032,4.71,MARINE PETROLEUM TRUST,Energy
AXIL,0.05555555555555555,-0.04904802233040986,6.085,AXIL BRANDS INC,Technology
CVV,0.05555555555555555,-0.06471353847462041,8.075,CVD EQUIPMENT CORP,Industrials
WFCF,0.05555555555555555,-0.07202981085106187,12.35,WHERE FOOD COMES FROM INC,Technology
CKX,0.05555555555555555,-0.2559873801196052,10.7,CKX LANDS INC,Energy
