ticker,weight,score,price,name,sector
ENLV,0.05263157894736842,1.3806839548374734,2.01,ENLIVEX LTD,Healthcare
DIT,0.05263157894736842,1.116369613274317,68.86,AMCON DISTRIBUTING CO,Consumer Defensive
BDL,0.05263157894736842,0.5658540222559181,41.0,FLANIGANS ENTERPRISES INC,Consumer Cyclical
MNDO,0.05263157894736842,0.5346588841663007,1.04,MIND CTI LTD,Technology
RIBB,0.05263157894736842,0.5123098833292254,10.82,RIBBON ACQUISITION CORP,Industrials
APT,0.05263157894736842,0.4667318113769864,5.37,ALPHA PRO TECH LTD,Basic Materials
HOUR,0.05263157894736842,0.4395811638526598,1.925,HOUR LOOP INC,Consumer Cyclical
SWAG,0.05263157894736842,0.3891603277255269,2.04,STRAN & COMPANY INC,Communication Services
MXC,0.05263157894736842,0.3581594522645034,9.47,MEXCO ENERGY CORP,Energy
IDN,0.05263157894736842,0.23159849936652643,3.76,INTELLICHECK INC,Technology
RAVE,0.05263157894736842,0.16059713063207456,3.09,RAVE RESTAURANT GROUP INC,Consumer Cyclical
BOSC,0.05263157894736842,0.08808536256222516,4.45,BOS BETTER ONLINE SOLUTIONS LTD,Technology
MARPS,0.05263157894736842,0.02161292332984739,4.83,MARINE PETROLEUM TRUST,Energy
AXIL,0.05263157894736842,-0.02094377705479919,5.8,AXIL BRANDS INC,Technology
CAPN,0.05263157894736842,-0.04168279608618636,11.1,CAYSON ACQUISITION CORP,Industrials
WFCF,0.05263157894736842,-0.04228623131784831,12.555,WHERE FOOD COMES FROM INC,Technology
UG,0.05263157894736842,-0.07619692242328735,7.28,UNITED GUARDIAN INC,Consumer Defensive
PXLW,0.05263157894736842,-0.11856913652059106,6.45,PIXELWORKS INC,Technology
CKX,0.05263157894736842,-0.3546875674683014,10.88,CKX LANDS INC,Energy
