factor,category,ic,ic_ir,t,turnover,coverage
EV,value_ev,0.0262,0.202,0.8,0.014,0.638
OP_IT,quality,0.0131,0.182,0.74,0.032,0.709
NCFO_GROWTH_YOY,growth,0.0111,0.184,0.74,0.08,0.858
PFCR,value_price,0.0149,0.187,0.74,0.099,0.633
EV_CF,value_ev,0.0168,0.181,0.72,0.102,0.633
ASSETS_GROWTH_QOQ,growth,0.0115,0.176,0.71,0.075,0.896
GP_IT,quality,0.0105,0.173,0.7,0.018,0.709
EV_NET,value_ev,0.0176,0.17,0.67,0.075,0.634
GP_E,quality,0.0131,0.164,0.66,0.017,0.898
ROIT,quality,0.012,0.16,0.65,0.038,0.709
REVENUE_GROWTH_YOY,growth,0.014,0.16,0.65,0.039,0.862
OPINC_DEBT,quality,0.018,0.16,0.65,0.031,0.85
ROCE,quality,0.018,0.159,0.64,0.039,0.749
GP_GROWTH_YOY,growth,0.0131,0.156,0.63,0.048,0.862
ROIC,quality,0.0181,0.148,0.6,0.034,0.896
SIZE,value_price,0.0216,0.152,0.6,0.016,0.64
ASSETS_GROWTH_YOY,growth,0.0112,0.146,0.59,0.03,0.87
IT_TURNOVER,quality,0.0092,0.147,0.59,0.015,0.709
ASSET_TURNOVER,quality,0.0147,0.146,0.59,0.011,0.896
EV_EBIT,value_ev,0.0164,0.146,0.58,0.074,0.634
AC_A,quality,0.0095,0.141,0.57,0.081,0.895
GP_A,quality,0.016,0.139,0.56,0.015,0.898
CASH_GROWTH_YOY,growth,0.0074,0.137,0.55,0.053,0.867
ROA,quality,0.0165,0.135,0.55,0.038,0.896
GPIC,quality,0.0167,0.133,0.54,0.013,0.896
ASSET_TURNOVER_TTM,quality,0.0132,0.131,0.53,0.005,0.863
F_SCORE,quality,0.0113,0.127,0.51,0.059,0.71
GP_A_TTM,quality,0.0135,0.119,0.48,0.007,0.863
REVENUE_GROWTH_QOQ,growth,0.0067,0.118,0.48,0.091,0.892
ROE,quality,0.0108,0.115,0.47,0.042,0.896
EV_EBITDA,value_ev,0.0142,0.116,0.46,0.072,0.633
PER,value_price,0.0128,0.115,0.46,0.077,0.634
SORTINO_MOM_60D,price,-0.0136,-0.114,-0.46,0.24,0.638
SHARPE_MOM_60D,price,-0.0135,-0.112,-0.45,0.239,0.64
AC_E,quality,0.0064,0.11,0.44,0.075,0.895
ROA_TTM,quality,0.0136,0.108,0.44,0.014,0.863
PCR,value_price,0.011,0.105,0.42,0.097,0.633
RSI_9D,price,0.0132,0.101,0.41,0.239,0.903
SHARPE_MOM_120D,price,-0.0129,-0.102,-0.41,0.17,0.632
CASH_GROWTH_QOQ,growth,0.0048,0.1,0.41,0.091,0.893
GP_A_GROWTH_YOY,growth,0.0063,0.1,0.4,0.054,0.86
DEBT_RATIO,quality,0.0093,0.097,0.39,0.01,0.904
PITR,value_price,-0.0087,-0.099,-0.39,0.023,0.52
RND_GROWTH_YOY,growth,0.0095,0.097,0.39,0.048,0.267
GP_GROWTH_QOQ,growth,0.0057,0.097,0.39,0.092,0.892
NCAV,value_price,0.0137,0.098,0.39,0.015,0.538
ROE_TTM,quality,0.0091,0.094,0.38,0.016,0.863
EQUITY_GROWTH_QOQ,growth,0.0065,0.095,0.38,0.076,0.896
EQUITY_GROWTH_YOY,growth,0.0063,0.088,0.36,0.033,0.871
SHARPE,price,0.0172,0.089,0.36,0.092,0.647
SORTINO_MOM_120D,price,-0.0113,-0.091,-0.36,0.17,0.627
EV_GP,value_ev,0.0111,0.089,0.35,0.04,0.634
MOM_12_1,price,0.0171,0.087,0.35,0.091,0.617
POR,value_price,0.0112,0.089,0.35,0.067,0.634
PER_TTM,value_price,0.0104,0.088,0.35,0.038,0.623
NCFO_ACCEL_YOY,acceleration,0.0041,0.082,0.33,0.08,0.806
RSI_14D,price,0.0116,0.082,0.33,0.219,0.902
SORTINO,price,0.0157,0.082,0.33,0.092,0.637
MA_ACCEL_10_1_5,acceleration,0.0114,0.08,0.32,0.323,0.635
OPINC_GROWTH_YOY,growth,0.005,0.076,0.31,0.067,0.862
ACCRUAL_ACCEL_YOY,acceleration,-0.0034,-0.074,-0.3,0.084,0.805
MA_ACCEL_3_12_5,acceleration,-0.0108,-0.075,-0.3,0.186,0.633
EV_AC,value_ev,-0.0059,-0.072,-0.29,0.106,0.633
MOM_12M,price,0.0148,0.073,0.29,0.087,0.616
SORTINO_MOM_20D,price,-0.0077,-0.071,-0.29,0.411,0.635
SHARPE_MOM_20D,price,-0.0078,-0.069,-0.28,0.411,0.646
POR_TTM,value_price,0.009,0.067,0.27,0.033,0.623
NPM,quality,0.0071,0.066,0.27,0.036,0.899
ALTMAN_Z,quality,0.0092,0.064,0.26,0.018,0.51
CURRENT_RATIO,quality,0.0083,0.065,0.26,0.016,0.884
OPINC_DEBT_GROWTH_YOY,growth,0.004,0.061,0.25,0.066,0.806
EV_RD,value_ev,0.0071,0.062,0.25,0.037,0.198
PEG_TTM,value_price,-0.0048,-0.064,-0.25,0.06,0.579
NETINC_GROWTH_YOY,growth,0.0041,0.062,0.25,0.075,0.862
EV_SALES,value_ev,0.0082,0.06,0.24,0.025,0.634
REVENUE_ACCEL_QOQ,acceleration,-0.0038,-0.058,-0.23,0.114,0.879
NCFO_ACCEL_QOQ,acceleration,-0.0034,-0.057,-0.23,0.116,0.876
OPM,quality,0.0063,0.056,0.23,0.03,0.899
PCR_TTM,value_price,0.0082,0.058,0.23,0.038,0.622
MOM_6M,price,0.0099,0.054,0.22,0.126,0.631
GP_ACCEL_QOQ,acceleration,-0.0033,-0.055,-0.22,0.109,0.879
REVENUE_ACCEL_YOY,acceleration,0.0045,0.053,0.21,0.052,0.811
PAR,value_price,-0.0086,-0.049,-0.2,0.02,0.638
EARNINGS_VOL,quality,0.0058,0.049,0.2,0.006,0.801
MOM_1M,price,0.0069,0.047,0.19,0.326,0.646
RSI_25D,price,0.0074,0.048,0.19,0.182,0.9
DEBT_GROWTH_QOQ,growth,-0.0024,-0.044,-0.18,0.083,0.849
DIV_YIELD,value_price,-0.0059,-0.039,-0.15,0.013,0.621
RND_GROWTH_QOQ,growth,0.003,0.036,0.15,0.096,0.274
OPINC_ACCEL_QOQ,acceleration,-0.002,-0.036,-0.14,0.105,0.879
NETINC_ACCEL_QOQ,acceleration,-0.0018,-0.035,-0.14,0.108,0.879
PACR,value_price,-0.0031,-0.035,-0.14,0.102,0.633
SHAREHOLDER_YIELD,value_price,0.0045,0.034,0.14,0.029,0.621
RETENTION,quality,-0.0029,-0.035,-0.14,0.006,0.859
GP_ACCEL_YOY,acceleration,0.0027,0.032,0.13,0.055,0.811
PGPR,value_price,0.0043,0.029,0.11,0.04,0.634
PRR,value_price,0.0035,0.029,0.11,0.037,0.198
OPINC_DEBT_GROWTH_QOQ,growth,0.0015,0.026,0.1,0.096,0.84
SORTINO_MOM_200D,price,0.0033,0.026,0.1,0.13,0.613
NCFO_GROWTH_QOQ,growth,0.0015,0.025,0.1,0.105,0.89
PSR,value_price,0.0034,0.022,0.09,0.026,0.634
NETINC_GROWTH_QOQ,growth,-0.0013,-0.022,-0.09,0.099,0.891
SHARPE_MOM_200D,price,0.0031,0.023,0.09,0.132,0.62
OPINC_GROWTH_QOQ,growth,0.0012,0.021,0.08,0.096,0.892
GP_A_GROWTH_QOQ,growth,0.001,0.02,0.08,0.095,0.891
OPINC_ACCEL_YOY,acceleration,0.0013,0.016,0.07,0.065,0.811
PSR_TTM,value_price,0.0028,0.018,0.07,0.02,0.623
GPM,quality,0.0017,0.018,0.07,0.01,0.899
RND_REVENUE,quality,-0.0013,-0.017,-0.07,0.012,0.899
RND_GP,quality,-0.001,-0.014,-0.06,0.014,0.899
RND_OPINC,quality,0.0011,0.016,0.06,0.045,0.899
PBR,value_price,-0.0023,-0.016,-0.06,0.026,0.638
CLOSE_UNADJ,price,0.0022,0.014,0.06,0.027,0.651
PGPR_TTM,value_price,0.0024,0.015,0.06,0.027,0.623
VOL_52W,quality,-0.0033,-0.014,-0.05,0.013,0.886
ACCRUAL_ACCEL_QOQ,acceleration,-0.0004,-0.009,-0.04,0.117,0.874
TURNOVER,price,-0.0015,-0.009,-0.04,0.091,0.619
MOM_3M,price,-0.0012,-0.007,-0.03,0.182,0.64
RND_NETINC,quality,0.0005,0.007,0.03,0.048,0.899
VOL_60D,quality,-0.0018,-0.008,-0.03,0.039,0.901
NETINC_ACCEL_YOY,acceleration,0.0003,0.004,0.02,0.071,0.81
DEBT_GROWTH_YOY,growth,-0.0003,-0.004,-0.02,0.039,0.823
RIC,quality,-0.0002,-0.002,-0.01,0.013,0.896
MA_ACCEL_3_3_10,acceleration,,,,0.0,0.645
