factor,category,ic,ic_ir,spread,spread_t,mono,turnover,coverage,pass
SIZE,value_price,0.0084,0.078,3.049,8.41,1.0,0.021,0.561,✓
RND_MCAP,value_price,-0.0009,-0.015,1.46,5.44,0.04,0.021,0.521,
NOA,quality,0.0013,0.017,1.004,4.65,0.99,0.017,0.737,✓
IT_TURNOVER,quality,0.0084,0.161,0.49,3.34,0.92,0.018,0.574,✓
ACCRUAL_CF,quality,0.0031,0.057,0.537,3.32,0.61,0.079,0.752,✓
TAX_EBIT,quality,0.0123,0.17,-0.393,-3.17,-0.53,0.022,0.731,
PER,value_price,0.0291,0.254,-1.046,-2.9,-0.08,0.065,0.539,
SGNA_GP,quality,0.0069,0.066,-0.91,-2.67,-0.95,0.008,0.724,
ROIC,quality,0.0241,0.279,-0.519,-1.68,-0.03,0.036,0.753,
GP_A,quality,0.0202,0.251,0.322,1.57,0.71,0.017,0.758,
PBR,value_price,0.0114,0.099,0.457,1.32,0.37,0.032,0.544,
CAPEX_INTENSITY,quality,0.0003,0.007,0.129,0.93,0.54,0.034,0.752,
EXT_FINANCE,quality,0.0132,0.245,0.143,0.8,0.5,0.069,0.746,
REVENUE_GROWTH_YOY,growth,0.0126,0.214,-0.123,-0.7,0.2,0.043,0.719,
PFCR,value_price,0.0256,0.345,-0.071,-0.33,0.13,0.086,0.534,
MOM_12_1,price,0.0199,0.136,-0.163,-0.32,-0.07,0.091,0.546,
CBOP,quality,0.015,0.235,0.031,0.18,0.47,0.033,0.594,
NET_ISSUANCE,quality,0.0187,0.207,0.007,0.03,-0.25,0.022,0.738,
