factor,category,ic,ic_ir,spread,spread_t,mono,turnover,coverage,pass
SIZE,value_price,0.0216,0.152,1.742,4.56,1.0,0.016,0.64,✓
IT_TURNOVER,quality,0.0092,0.147,0.47,3.17,0.48,0.015,0.709,
RND_MCAP,value_price,-0.005,-0.068,0.505,2.57,-0.32,0.014,0.623,
ACCRUAL_CF,quality,0.0095,0.142,0.424,2.51,0.66,0.08,0.897,✓
REVENUE_GROWTH_YOY,growth,0.014,0.16,0.409,1.99,0.16,0.039,0.862,
CBOP,quality,0.0143,0.15,0.307,1.6,0.75,0.033,0.722,
PFCR,value_price,0.0149,0.187,0.297,1.59,0.61,0.099,0.633,
TAX_EBIT,quality,0.0003,0.003,-0.269,-1.57,-0.3,0.021,0.864,
SGNA_GP,quality,-0.0001,-0.001,-0.446,-1.54,-0.27,0.006,0.864,
GP_A,quality,0.016,0.139,0.318,1.35,0.89,0.015,0.898,
NOA,quality,0.0064,0.07,0.256,1.2,0.94,0.015,0.87,
EXT_FINANCE,quality,0.005,0.083,0.127,1.01,0.04,0.071,0.897,
SBC_REVENUE,quality,-0.004,-0.055,-0.151,-0.83,-0.03,0.011,0.86,
NET_ISSUANCE,quality,0.0058,0.061,-0.125,-0.66,-0.59,0.021,0.871,
CAPEX_INTENSITY,quality,0.0018,0.036,0.024,0.19,0.35,0.032,0.897,
