factor,category,ic,ic_ir,spread,spread_t,mono,turnover,coverage,pass
SIZE,value_price,0.0216,0.152,1.742,4.56,1.0,0.016,0.64,✓
BOOK_LEVERAGE,quality,0.0024,0.023,0.715,2.42,0.38,0.009,0.904,
CH_NWC,quality,0.0083,0.163,0.321,2.04,0.19,0.045,0.724,
CH_NNCOA,quality,0.0047,0.077,0.309,1.86,0.53,0.042,0.724,
GP_A,quality,0.016,0.139,0.318,1.35,0.89,0.015,0.898,
CH_EQUITY,growth,-0.0061,-0.064,0.285,1.26,0.07,0.029,0.871,
COMPOSITE_DEBT_ISSUANCE,quality,0.0022,0.031,0.135,0.88,0.13,0.016,0.634,
DEL_COA,quality,-0.0095,-0.101,-0.157,-0.7,-0.13,0.037,0.726,
CH_ASSET_TURNOVER,quality,0.0015,0.022,0.106,0.67,0.16,0.038,0.81,
DEL_FINL,quality,-0.0009,-0.014,-0.095,-0.59,0.18,0.034,0.724,
GR_CAPX,quality,-0.0026,-0.043,0.06,0.4,0.37,0.029,0.73,
INV_GROWTH,quality,-0.0018,-0.023,0.04,0.22,0.42,0.028,0.87,
DEL_EQU,quality,-0.0074,-0.068,0.058,0.21,0.07,0.027,0.87,
ASSETS_TO_MARKET,value_price,-0.0086,-0.049,0.041,0.09,0.2,0.02,0.638,
