,bull_calm,bull_turbulent,bear_calm,bear_turbulent
ACCRUAL_CF,0.0018161403178182124,0.0034796465221125653,-0.004934475521078272,0.02966787312920635
GP_A,0.010072039487855887,-0.004111812803244422,0.029322700708482582,0.02962930875374043
GP_GROWTH_YOY,0.018753944573780556,0.005492981194740379,-0.0003807518826049899,-0.006765864381166945
IT_TURNOVER,0.011681070308475395,0.0012680286763207256,0.004228795114538607,0.004414482156793208
MOM_12_1,0.027914403548534764,0.002819808245657824,-0.006312754525509136,-0.02746414135235593
NETINC_GROWTH_YOY,0.006079397510717154,0.0005140908529677757,-0.010769956041011872,0.0075200224713949234
NOA,0.009372921302572619,0.010673038683645766,-0.0017917517505499651,-0.002529220471786967
OPINC_GROWTH_YOY,0.005423111496116773,0.015025607417634564,-0.01023598220831401,0.0002176504459505447
PER,0.018864632571365895,0.003961757942784606,0.04616237659226076,0.009658028775362384
PFCR,0.01634890839536337,0.001759536747583034,0.0374750204327091,0.018253833666794894
PGPR,0.006243569638959901,-0.01655370613945711,0.05148002303345667,0.020772350951695332
POR,0.01834059524660979,0.0010996138906713923,0.05229218927763976,0.007575765723090783
PSR,0.006065781034298548,-0.008941727314014963,0.030662044462564257,0.01849242878182236
REVENUE_GROWTH_YOY,0.019911995661735637,0.001365711912060467,-0.002062373946280056,0.00038445715218341994
SIZE,0.012136381352139734,0.02134835769111205,0.05731371314296083,0.052523253214413576
VOL_52W,0.009690369793989552,-0.02952786859224074,0.07818193040617498,-0.031185146044010164
